[12-05-2017 14:12:24] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:12:24] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:13:41] Undefined variable: POST, W:\domains\mysite.local\table.php : 4
[12-05-2017 14:13:41] Undefined variable: POST, W:\domains\mysite.local\table.php : 5
[12-05-2017 14:13:41] Undefined variable: POST, W:\domains\mysite.local\table.php : 6
[12-05-2017 14:13:41] Undefined variable: POST, W:\domains\mysite.local\table.php : 23
[12-05-2017 14:13:41] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 14:13:41] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:13:41] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:14:03] Undefined variable: POST, W:\domains\mysite.local\table.php : 4
[12-05-2017 14:14:03] Undefined variable: POST, W:\domains\mysite.local\table.php : 5
[12-05-2017 14:14:03] Undefined variable: POST, W:\domains\mysite.local\table.php : 6
[12-05-2017 14:14:03] Undefined variable: POST, W:\domains\mysite.local\table.php : 23
[12-05-2017 14:14:03] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 14:14:03] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:14:03] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:14:59] Undefined variable: POST, W:\domains\mysite.local\table.php : 4
[12-05-2017 14:14:59] Undefined variable: POST, W:\domains\mysite.local\table.php : 5
[12-05-2017 14:14:59] Undefined variable: POST, W:\domains\mysite.local\table.php : 6
[12-05-2017 14:14:59] Undefined variable: POST, W:\domains\mysite.local\table.php : 23
[12-05-2017 14:14:59] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 14:14:59] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:14:59] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
